time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,category,participant,set,labelBenchPress,labelDeadlift,labelOHP,labelRow,labelSquat,labelRest
2019-01-18 18:27:01.400,0.0415024493264,0.971508948741,-0.078015766097,2.40951258962,-1.73593713175,-1.26235466107,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:01.600,0.0484781534554,0.963863268972,-0.0870158961965,3.4233222319,-1.42427160059,-0.614414923522,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:01.800,0.0463347131913,0.973602396585,-0.104820943752,2.80144938116,-1.93280669003,0.895942762746,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.000,0.0428169062367,0.979366619104,-0.115103161634,1.7950715641,-1.44947750409,0.455537468256,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.200,0.0456286579157,0.96733237619,-0.113205438672,1.54162716422,-0.887667520007,-1.13780587337,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.400,0.0448450168172,0.966165888284,-0.112580873102,0.924816871391,-2.06742096843,-0.559880330708,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.600,0.0325144962265,0.971842319098,-0.111976777973,2.26873333979,-1.50546667999,-0.91153636992,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:02.800,0.0186095373388,0.92958366974,-0.119966105027,12.2355137115,2.30159616305,-5.55134652586,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.000,0.00378715162237,0.86598279365,-0.175771026825,27.7362598448,3.0636587885,-9.31989224871,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.200,-0.0287815172898,0.872210454294,-0.280682769579,31.7213336143,-1.27563677927,-8.17634869952,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.400,-0.0673792778789,0.911354223036,-0.368510715349,16.3812558021,-3.69381738748,-4.52042617511,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.600,-0.0695925011626,0.898595630038,-0.394150870517,-3.14341896207,-2.09481778281,2.85504943744,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:03.800,-0.0327467009295,0.919379545829,-0.383108030904,-10.7730601116,-2.0785373675,13.379639541,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.000,-0.00441542831772,1.03795017515,-0.370774543223,-7.29830927192,-3.64991272258,12.439907205,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.200,-0.0105953613541,1.09356076886,-0.363032190481,0.580803185565,-1.65975505518,-6.86750439371,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.400,-0.0369314578976,1.01744026185,-0.357520831376,5.55830659798,2.23906040844,-21.0034124909,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.600,-0.0655099910682,0.972105939388,-0.344257396506,-3.43402772821,2.09058201847,-8.58433756657,high,A,2,1,0,0,0,0,0
2019-01-18 18:27:04.800,-0.0744811703267,0.961742503324,-0.300628601697,-22.5971679027,-2.05698191581,12.5464483094,high,A,2,1,0,0,0,0,0
